run_id,prob,algo,seed,pop_size,w,c1,c2,best,n_evals,time
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949598991797188,300,0.04385810000000001
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949598991797188,305,0.04453069999999992
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949593911909034,310,0.04521249999999988
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949593911909034,315,0.045885500000000023
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949593777776755,320,0.04655269999999989
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949593777776755,325,0.0472302
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949593519744369,330,0.04790479999999997
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949592926010382,335,0.04857409999999995
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949592926010382,340,0.04924359999999983
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949591754075513,345,0.0499136
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.994959108883041,350,0.05058529999999983
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.994959108883041,355,0.05126509999999995
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.994959108883041,360,0.051998099999999825
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949590675096687,365,0.05273699999999981
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949590675096687,370,0.053446399999999894
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.994959058724163,375,0.05411799999999989
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.994959058724163,380,0.05478889999999992
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949590581743877,385,0.0554562999999999
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949590573028644,390,0.05612779999999984
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949590572164979,395,0.0568344999999999
0,Rastrigin,PSO_0,0,5,0.4,2,2,0.9949590571153379,400,0.05750849999999996
1,Rastrigin,PSO_0,1,5,0.4,2,2,23.2777352853721,5,0.0
1,Rastrigin,PSO_0,1,5,0.4,2,2,23.2777352853721,10,0.0007610000000000117
1,Rastrigin,PSO_0,1,5,0.4,2,2,14.186304101821097,15,0.0014434000000000946
1,Rastrigin,PSO_0,1,5,0.4,2,2,14.186304101821097,20,0.0021183000000000174
1,Rastrigin,PSO_0,1,5,0.4,2,2,14.186304101821097,25,0.0027973000000001136
1,Rastrigin,PSO_0,1,5,0.4,2,2,14.186304101821097,30,0.0035632000000000996
1,Rastrigin,PSO_0,1,5,0.4,2,2,14.186304101821097,35,0.004324200000000111
1,Rastrigin,PSO_0,1,5,0.4,2,2,13.501753256342866,40,0.005026799999999998
1,Rastrigin,PSO_0,1,5,0.4,2,2,13.501753256342866,45,0.005767599999999984
1,Rastrigin,PSO_0,1,5,0.4,2,2,13.501753256342866,50,0.006510400000000027
1,Rastrigin,PSO_0,1,5,0.4,2,2,13.501753256342866,55,0.007212400000000008
1,Rastrigin,PSO_0,1,5,0.4,2,2,6.408997940072984,60,0.007958600000000038
1,Rastrigin,PSO_0,1,5,0.4,2,2,6.408997940072984,65,0.008731200000000161
1,Rastrigin,PSO_0,1,5,0.4,2,2,5.834915432390805,70,0.009455200000000108
1,Rastrigin,PSO_0,1,5,0.4,2,2,5.834915432390805,75,0.010169300000000048
1,Rastrigin,PSO_0,1,5,0.4,2,2,5.834915432390805,80,0.010845600000000122
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.7565948324350487,85,0.01151750000000007
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.7565948324350487,90,0.012217400000000156
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.7565948324350487,95,0.012991100000000033
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.7565948324350487,100,0.013703300000000196
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.7565948324350487,105,0.01443860000000008
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.6974023673555472,110,0.01514760000000015
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.6974023673555472,115,0.015892699999999982
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.6974023673555472,120,0.0165902
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.6974023673555472,125,0.017269100000000037
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.6974023673555472,130,0.017965100000000067
1,Rastrigin,PSO_0,1,5,0.4,2,2,1.6974023673555472,135,0.018640600000000118
