Algorithm,Best IGD,Worst IGD,Median IGD
NSGA3,9.0797e-04,1.0021e-03,9.4266e-04
MOEAD - PBI,1.6838e-03,2.9024e-03,2.0029e-03
MOEAD - Tchebicheff,7.7075e-02,7.8147e-02,7.8070e-02
