seed,problem,algorithm,n_eval,n_gen,gd,gd+,igd+,igd,-hv
0,bnh,nsga2,100,1,0.6355777286989912,0.5431515794218706,1.1083758708462719,3.884690731068157,-4901.431144272288
0,bnh,nsga2,200,2,0.6152732349300285,0.5278742339055791,0.8523922271672972,2.9979255173750854,-4948.591819575882
0,bnh,nsga2,300,3,0.5856323451950536,0.47174105062208943,0.6714225989264206,2.539529374340613,-4982.0044435539185
0,bnh,nsga2,400,4,0.5226766598519004,0.3977473663708593,0.5594165514050977,2.177189191551666,-5002.617702888789
0,bnh,nsga2,500,5,0.46523705263976256,0.33498225361086215,0.39880520842630973,1.3073739248127845,-5030.070459340447
0,bnh,nsga3,13,1,1.1239718381812513,0.9910741061939462,3.54527458107288,8.929704592155687,-4480.310762451402
0,bnh,nsga3,26,2,1.0782776436239683,0.8600640323463088,3.078574585573175,7.995660299294882,-4572.022163087509
0,bnh,nsga3,39,3,0.8520278599435486,0.804992391366647,2.1670038063600425,8.245415072964349,-4729.590701124832
0,bnh,nsga3,52,4,1.1039935189588528,0.9699235069007819,2.790341425087437,7.832356713444585,-4629.758868144737
0,bnh,nsga3,65,5,0.8211277765156322,0.7113204367734083,2.5786300016668964,7.607441718293122,-4669.370506032673
0,bnh,nsga3,78,6,0.9728706022974627,0.8628798142512513,2.3573086863867307,7.279651087958886,-4709.0944928011195
0,bnh,nsga3,91,7,0.9289414396706888,0.7916210744093625,2.455312151086977,7.632302627343746,-4691.630642265074
0,bnh,nsga3,104,8,0.8652073482693771,0.7566930332519752,2.1313577197422604,6.565459152525806,-4746.407938248029
0,bnh,nsga3,117,9,0.796252684523267,0.6674942341094862,2.0732313092890537,6.472374296910198,-4755.073068381485
0,bnh,nsga3,130,10,0.7560932773048167,0.6489983146087803,1.9543432206064657,5.86996645150159,-4771.944620198974
0,bnh,nsga3,143,11,0.6571924523475818,0.5324125954184656,1.9548489942663625,5.737807320764065,-4775.016314674362
0,bnh,nsga3,156,12,0.5587759105215246,0.409688272803643,1.764620018973733,5.608668547005294,-4802.390626510559
0,bnh,nsga3,169,13,0.5283428724702891,0.3792552347524074,1.7220140768428016,5.580867935719266,-4808.214257524518
0,bnh,nsga3,182,14,0.5442652156843993,0.4783712476561003,2.109787408661842,6.14310029371965,-4729.2204326864
0,bnh,nsga3,195,15,0.5532095763891172,0.4675065800822323,2.042825517102232,5.867097291466115,-4745.525182649308
0,bnh,nsga3,208,16,0.6313814770529323,0.46664480534059977,2.077233229982981,5.840361968512164,-4748.186793630671
0,bnh,nsga3,221,17,0.651587131973047,0.46398368303332616,2.0571312547830822,5.826920966610653,-4752.490494794773
0,bnh,nsga3,234,18,0.6365169225366031,0.4909736210990712,2.0736101635093784,5.6287156226072295,-4751.156159957162
0,bnh,nsga3,247,19,0.6293537057963761,0.48674417974028333,1.8976513351064546,5.227401706010834,-4782.825839813934
0,bnh,nsga3,260,20,0.6741957434500118,0.45808527650515973,1.9344980127642142,5.329733181960831,-4781.9213762782165
0,bnh,nsga3,273,21,0.6631148465724082,0.44847839580566007,1.9378807505284599,5.334348323022832,-4781.456739711826
0,bnh,nsga3,286,22,0.6631148465724082,0.44847839580566007,1.9378807505284599,5.334348323022832,-4781.456739711826
0,bnh,nsga3,299,23,0.6582914966662566,0.4705992764409433,1.936135899037291,5.334365106272093,-4781.02947370276
0,bnh,nsga3,312,24,0.6938159753244624,0.45676197218217607,2.0189339634370893,5.8530228002898586,-4765.4833254761415
0,bnh,nsga3,325,25,0.6822458366250803,0.41830933911696344,2.0508803103611317,6.15226181678843,-4757.818797960388
0,bnh,nsga3,338,26,0.6457716718868298,0.39490672093170176,2.030702968558677,6.1129800653165,-4760.351615548974
0,bnh,nsga3,351,27,0.5878093278937142,0.39346424267765656,2.0235765406714337,6.099376678359329,-4761.23109403113
0,bnh,nsga3,364,28,0.5423849333872997,0.3856359536765103,1.8832842298317265,5.765112630770069,-4787.452715215116
0,bnh,nsga3,377,29,0.5943528913994732,0.40999986220522655,1.8808661302270173,5.76370944874491,-4787.843268191855
0,bnh,nsga3,390,30,0.6378144776355299,0.4024818991039264,1.8881201156229586,5.833094467728574,-4786.478758801958
0,bnh,nsga3,403,31,0.6378144776355298,0.4024818991039264,1.8881201156229586,5.833094467728574,-4786.478758801958
0,bnh,nsga3,416,32,0.6335060145508427,0.40272337522019463,1.8633616042542562,5.750249227344563,-4789.349091166531
0,bnh,nsga3,429,33,0.6239534968193965,0.38428686726528266,1.8644825528930549,5.751925565013376,-4789.331863062866
0,bnh,nsga3,442,34,0.578784596012911,0.371475323134234,1.8651168883921432,5.746053909319804,-4789.525476080917
0,bnh,nsga3,455,35,0.5162718638959614,0.33935342205118985,1.8742427379231146,5.750542758164417,-4787.873439452949
0,bnh,nsga3,468,36,0.5162718638959614,0.33935342205118985,1.8742427379231146,5.750542758164417,-4787.873439452949
0,bnh,nsga3,481,37,0.5282982639468996,0.3436012264664843,1.874477091672312,5.751942076660515,-4787.887995238753
0,bnh,nsga3,494,38,0.5282982639468996,0.3436012264664843,1.874477091672312,5.751942076660515,-4787.887995238753
0,bnh,nsga3,507,39,0.47729704808378504,0.3394571240033351,1.8776015551978018,5.870779891982321,-4787.249553056359
0,bnh,unsga3,13,1,1.2241481471296007,1.1627622814175491,3.314471518305134,17.05383206808355,-4541.067862692061
0,bnh,unsga3,26,2,1.445442873023258,1.3857302460520735,3.418288094007787,9.502613253230408,-4508.532478095497
0,bnh,unsga3,39,3,1.3634127801171463,1.2527236205368386,3.0363413219830058,8.20774029295408,-4583.642848458222
0,bnh,unsga3,52,4,1.3222219899612886,1.2562360694799397,3.0300367963205894,8.197972580153424,-4584.355784581539
0,bnh,unsga3,65,5,1.1165482879577302,1.0297089781320314,2.8898987754155434,8.594153308066018,-4610.281646978921
0,bnh,unsga3,78,6,0.9353093701744141,0.8520111460830083,2.994744279434965,8.596622750523277,-4594.986567513912
0,bnh,unsga3,91,7,1.0001560630294624,0.9077548988238636,2.924328901437317,8.03031810351782,-4608.053810606696
0,bnh,unsga3,104,8,0.9420412521162914,0.8325104264620861,2.906916087836973,7.939743353792034,-4619.437410982576
0,bnh,unsga3,117,9,0.9564914520753445,0.8412050589075578,2.870369734910076,7.886064952363277,-4628.553776895778
0,bnh,unsga3,130,10,0.9840065799234771,0.8504994217062396,2.817484440079333,7.876040883870359,-4636.036240710551
0,bnh,unsga3,143,11,0.767308644916394,0.6143870849143881,2.2549218394155774,12.744143859823243,-4718.171895043017
0,bnh,unsga3,156,12,0.7758940628714616,0.6021238199972151,2.2197267101839997,12.738171111795948,-4724.995839592939
0,bnh,unsga3,169,13,0.7752421055166315,0.6379104089388705,2.003886520217054,12.52744172746058,-4755.017482491619
0,bnh,unsga3,182,14,0.6279075955524885,0.505779030709385,1.980685192722801,12.47999942346461,-4763.378297518269
0,bnh,unsga3,195,15,0.6105898209386935,0.4823594959702289,2.2314983428680093,12.72481385846521,-4728.1219427383485
0,bnh,unsga3,208,16,0.6129008557672119,0.4814075030252806,2.225193861586187,12.76407115016003,-4729.090617640382
0,bnh,unsga3,221,17,0.6408905536205379,0.5465476753662207,2.170645626294329,10.380655185128012,-4741.273751389172
0,bnh,unsga3,234,18,0.5695852846892859,0.4864201679462498,2.4389990142697857,8.56343555762051,-4699.116000246786
0,bnh,unsga3,247,19,0.5682307107134617,0.48514228031195666,2.4387943376455277,8.563162345337975,-4699.142497768164
0,bnh,unsga3,260,20,0.7416884811123812,0.6639667188422924,3.3135490166945463,8.543820384723622,-4560.085029560027
0,bnh,unsga3,273,21,0.621380298997809,0.4941565256764832,3.2134218092930036,8.478531017511303,-4581.108561350871
0,bnh,unsga3,286,22,0.7391517065336053,0.5127824639079841,3.904965606377483,10.861614581385982,-4450.0873195271615
0,bnh,unsga3,299,23,0.7316371008242532,0.5242634216575197,3.72619903303474,10.443268900813313,-4486.452857863601
0,bnh,unsga3,312,24,0.6465148146058445,0.5107725825550744,3.3322059957364876,8.93878501410308,-4556.798052639115
0,bnh,unsga3,325,25,0.6355047453567407,0.4709061367343432,3.2946060824825922,8.914258274801675,-4564.988044175704
0,bnh,unsga3,338,26,0.6563603583868318,0.49209099206644996,3.3930383059884175,9.413473739612066,-4546.1737663620725
0,bnh,unsga3,351,27,0.6152115515086782,0.4747553074578345,3.365872271747241,9.329304491997128,-4550.122544885904
0,bnh,unsga3,364,28,0.5998965726915497,0.471145015644943,2.77738527679267,8.762450928445238,-4640.776110199255
0,bnh,unsga3,377,29,0.5671980462836004,0.43844648923699375,2.56730982541206,8.577319919107119,-4669.793376047836
0,bnh,unsga3,390,30,0.5566352844023729,0.44036834767351013,2.5627327446769135,8.573354618809722,-4670.30685386517
0,bnh,unsga3,403,31,0.5806304950151492,0.44406225665255256,2.57751796323457,8.701651184854779,-4667.019362044471
0,bnh,unsga3,416,32,0.5624004817790441,0.43285472934258995,2.5665967967965084,8.700747103269784,-4670.512409808344
0,bnh,unsga3,429,33,0.5685918841173104,0.4478494649538141,2.5566551745950155,8.69669400489783,-4672.361180166993
0,bnh,unsga3,442,34,0.6336749859237002,0.46116603151131447,2.4472084456492893,8.368903912964992,-4690.73801211833
0,bnh,unsga3,455,35,0.6864108338051392,0.5140668224302837,2.469939218649844,8.37619960765796,-4686.288996380193
0,bnh,unsga3,468,36,0.614425124682678,0.46561644844054295,2.0480861902224157,6.67550606111716,-4758.171508684817
0,bnh,unsga3,481,37,0.6346829119018362,0.4583510497337109,2.1105923100387924,7.040453543069394,-4746.229752308999
0,bnh,unsga3,494,38,0.5996018954897457,0.3949782398551231,2.078599188856339,7.02507977508479,-4752.41970939001
0,bnh,unsga3,507,39,0.5996018954897457,0.3949782398551231,2.078599188856339,7.02507977508479,-4752.41970939001
0,ctp1,nsga2,100,1,0.11208402702742383,0.11208402702742383,0.04779468011194888,0.05851421187696054,-0.2431075703439532
0,ctp1,nsga2,200,2,0.15223717474388007,0.15221244068181122,0.04253447835485183,0.04953867633546627,-0.2518022753292381
0,ctp1,nsga2,300,3,0.06638296526527519,0.06636575896122729,0.036940056220409724,0.042736760544696065,-0.2597403779321357
0,ctp1,nsga2,400,4,0.051206228340546035,0.051097608066788494,0.02705799585838111,0.03453046779391023,-0.2706026834645561
0,ctp1,nsga2,500,5,0.046357575860551774,0.04622353191760037,0.025512331873177547,0.0330156924766343,-0.2727957585596591
0,ctp1,nsga3,13,1,0.3355673609593284,0.3355673609593284,0.22595499522579185,0.2540816499510378,-0.02649385593927657
0,ctp1,nsga3,26,2,0.27835353628246423,0.27835353628246423,0.213704187243909,0.2455009034324192,-0.02804167735038425
0,ctp1,nsga3,39,3,0.332195580660956,0.332195580660956,0.213704187243909,0.2455009034324192,-0.02804167735038425
0,ctp1,nsga3,52,4,0.21534960783016258,0.21534960783016258,0.11190588233672115,0.18435059825602412,-0.16231130732663981
