seed,problem,algorithm,n_eval,n_gen,gd+
0,df2,nsga2,200,2,0.6422956713100483
0,df2,nsga2,300,3,0.6757310051194098
0,df2,nsga2,400,4,0.264513758638225
0,df2,nsga2,500,5,0.2535571553452784
0,df3,nsga2,100,1,4.624217646304412
0,df3,nsga2,200,2,3.40039016347504
0,df3,nsga2,300,3,2.47623523055131
0,df3,nsga2,400,4,2.257372878700713
0,df3,nsga2,500,5,1.8017123338747925
0,df4,nsga2,100,1,15.140560681845761
0,df4,nsga2,200,2,17.53524315872653
0,df4,nsga2,300,3,14.278705725724153
0,df4,nsga2,400,4,16.062535703915184
0,df4,nsga2,500,5,15.751664798227202
0,df5,nsga2,100,1,1.5556706376847407
0,df5,nsga2,200,2,1.5796849574115135
0,df5,nsga2,300,3,1.124482552723074
0,df5,nsga2,400,4,0.8376672978710705
0,df5,nsga2,500,5,0.6175444562098336
0,df6,nsga2,100,1,65.85823921947153
0,df6,nsga2,200,2,63.44150348008234
0,df6,nsga2,300,3,52.958361249660996
0,df6,nsga2,400,4,39.05421594952498
0,df6,nsga2,500,5,21.775750079263354
0,df7,nsga2,100,1,0.7934382711337006
0,df7,nsga2,200,2,0.7559815287536026
0,df7,nsga2,300,3,0.691280404446351
0,df7,nsga2,400,4,0.4659282316556703
0,df7,nsga2,500,5,0.3367612249103174
0,df8,nsga2,100,1,1.3896328210710542
0,df8,nsga2,200,2,1.3796267391531702
0,df8,nsga2,300,3,1.0657350618535117
0,df8,nsga2,400,4,0.8261933101577144
0,df8,nsga2,500,5,0.7169468441296974
0,df9,nsga2,100,1,3.5580035261986627
0,df9,nsga2,200,2,2.8906321965761803
0,df9,nsga2,300,3,2.5425321283306146
0,df9,nsga2,400,4,2.1284589256259605
0,df9,nsga2,500,5,2.356005555325952
0,df10,nsga2,100,1,1.7216166804231077
0,df10,nsga2,200,2,2.0245933758279144
0,df10,nsga2,300,3,1.9348765166989015
0,df10,nsga2,400,4,1.6642403359656843
0,df10,nsga2,500,5,1.7433614741237837
0,df11,nsga2,100,1,0.86677986006531
0,df11,nsga2,200,2,0.6953424149005258
0,df11,nsga2,300,3,0.77964295853143
0,df11,nsga2,400,4,0.4192871125062327
0,df11,nsga2,500,5,0.4398838272082513
0,df12,nsga2,100,1,2.085135093080676
0,df12,nsga2,200,2,2.1407316912555236
0,df12,nsga2,300,3,2.022266624102428
0,df12,nsga2,400,4,1.7007212168281953
0,df12,nsga2,500,5,1.656232862691045
0,df13,nsga2,100,1,2.163242782870379
0,df13,nsga2,200,2,2.020128609434359
0,df13,nsga2,300,3,1.8687434162178411
0,df13,nsga2,400,4,1.5261655596912476
0,df13,nsga2,500,5,1.5077387853177924
0,df14,nsga2,100,1,1.2190990913827715
0,df14,nsga2,200,2,1.09383151954428
0,df14,nsga2,300,3,0.820404456662137
0,df14,nsga2,400,4,0.7783291053470494
0,df14,nsga2,500,5,0.7236970664915473
0,mw1,nsga2,100,1,
0,mw1,nsga2,200,2,
0,mw1,nsga2,300,3,
0,mw1,nsga2,400,4,
0,mw1,nsga2,500,5,
0,mw2,nsga2,100,1,
0,mw2,nsga2,200,2,
0,mw2,nsga2,300,3,
0,mw2,nsga2,400,4,
0,mw2,nsga2,500,5,
0,mw3,nsga2,100,1,
0,mw3,nsga2,200,2,
0,mw3,nsga2,300,3,
0,mw3,nsga2,400,4,
0,mw3,nsga2,500,5,
0,mw4,nsga2,100,1,
0,mw4,nsga2,200,2,
0,mw4,nsga2,300,3,
0,mw4,nsga2,400,4,
0,mw4,nsga2,500,5,
0,mw5,nsga2,100,1,
0,mw5,nsga2,200,2,
0,mw5,nsga2,300,3,
0,mw5,nsga2,400,4,
0,mw5,nsga2,500,5,
0,mw6,nsga2,100,1,
0,mw6,nsga2,200,2,
0,mw6,nsga2,300,3,
0,mw6,nsga2,400,4,
0,mw6,nsga2,500,5,
0,mw7,nsga2,100,1,
0,mw7,nsga2,200,2,
0,mw7,nsga2,300,3,
0,mw7,nsga2,400,4,
0,mw7,nsga2,500,5,
0,mw8,nsga2,100,1,
0,mw8,nsga2,200,2,
0,mw8,nsga2,300,3,
0,mw8,nsga2,400,4,
0,mw8,nsga2,500,5,
0,mw9,nsga2,100,1,
0,mw9,nsga2,200,2,
0,mw9,nsga2,300,3,
0,mw9,nsga2,400,4,
0,mw9,nsga2,500,5,
0,mw10,nsga2,100,1,
0,mw10,nsga2,200,2,
0,mw10,nsga2,300,3,
0,mw10,nsga2,400,4,
0,mw10,nsga2,500,5,
0,mw11,nsga2,100,1,
0,mw11,nsga2,200,2,
0,mw11,nsga2,300,3,
0,mw11,nsga2,400,4,
0,mw11,nsga2,500,5,
0,mw12,nsga2,100,1,
0,mw12,nsga2,200,2,
0,mw12,nsga2,300,3,
0,mw12,nsga2,400,4,
0,mw12,nsga2,500,5,
0,mw13,nsga2,100,1,
0,mw13,nsga2,200,2,
0,mw13,nsga2,300,3,
0,mw13,nsga2,400,4,
0,mw13,nsga2,500,5,
0,mw14,nsga2,100,1,0.09213787545148636
0,mw14,nsga2,200,2,0.09236739292039592
0,mw14,nsga2,300,3,0.08647726624137066
0,mw14,nsga2,400,4,0.07691013578180605
0,mw14,nsga2,500,5,0.0744342432074204
0,dtlz1,nsga2,100,1,177.87380459982538
0,dtlz1,nsga2,200,2,160.47638866073936
0,dtlz1,nsga2,300,3,150.38552777661127
0,dtlz1,nsga2,400,4,151.10283940283128
0,dtlz1,nsga2,500,5,153.56661377003132
0,dtlz2,nsga2,100,1,0.5485589698923764
0,dtlz2,nsga2,200,2,0.5551541124402224
