seed,problem,algorithm,n_eval,n_gen,best
0,ackley,ga,100,1,12.438739027373735
0,ackley,ga,200,2,10.135137665324098
0,ackley,ga,300,3,8.0135996031913
0,ackley,ga,400,4,3.264708568249859
0,ackley,ga,500,5,3.264708568249859
0,ackley,de,100,1,9.637227800116744
0,ackley,de,200,2,6.137941341030039
0,ackley,de,300,3,6.137941341030039
0,ackley,de,400,4,3.8649565188862565
0,ackley,de,500,5,3.8649565188862565
0,ackley,nelder-mead,20,1,4.410508924516435
0,ackley,nelder-mead,22,2,4.410508924516435
0,ackley,nelder-mead,24,3,3.936808034903749
0,ackley,nelder-mead,26,4,2.9841059064626987
0,ackley,nelder-mead,28,5,0.7319381522083614
0,ackley,nelder-mead,30,6,0.7319381522083614
0,ackley,nelder-mead,32,7,0.7319381522083614
0,ackley,nelder-mead,34,8,0.7319381522083614
0,ackley,nelder-mead,36,9,0.7319381522083614
0,ackley,nelder-mead,38,10,0.7319381522083614
0,ackley,nelder-mead,42,11,0.7319381522083614
0,ackley,nelder-mead,44,12,0.7319381522083614
0,ackley,nelder-mead,46,13,0.5786477592071013
0,ackley,nelder-mead,48,14,0.4151777267082264
0,ackley,nelder-mead,50,15,0.40766803718529987
0,ackley,nelder-mead,52,16,0.36658647401190025
0,ackley,nelder-mead,54,17,0.36658647401190025
0,ackley,nelder-mead,56,18,0.35440974983343
0,ackley,nelder-mead,58,19,0.34211304515577057
0,ackley,nelder-mead,60,20,0.3045215598917186
0,ackley,nelder-mead,62,21,0.3045215598917186
0,ackley,nelder-mead,64,22,0.2711322435963237
0,ackley,nelder-mead,66,23,0.20613637186069456
0,ackley,nelder-mead,68,24,0.1324209670469192
0,ackley,nelder-mead,70,25,0.03296717547424466
0,ackley,nelder-mead,71,26,0.03296717547424466
0,ackley,nelder-mead,73,27,0.03296717547424466
0,ackley,nelder-mead,75,28,0.031184943929585263
0,ackley,nelder-mead,77,29,0.015510716190551666
0,ackley,nelder-mead,79,30,0.00797886403919934
0,ackley,nelder-mead,81,31,0.00797886403919934
0,ackley,nelder-mead,83,32,0.007137067332042779
0,ackley,nelder-mead,85,33,0.006760968172582427
0,ackley,nelder-mead,87,34,0.0033643764100337314
0,ackley,nelder-mead,89,35,0.001907090044025228
0,ackley,nelder-mead,91,36,0.001452038506581932
0,ackley,nelder-mead,93,37,0.0010664350882554352
0,ackley,nelder-mead,95,38,0.0008468598923916382
0,ackley,nelder-mead,97,39,0.0005530718549526803
0,ackley,nelder-mead,99,40,0.0002736206092248672
0,ackley,nelder-mead,101,41,0.0002736206092248672
0,ackley,nelder-mead,103,42,0.00023880445032675723
0,ackley,nelder-mead,105,43,0.0001367324299619277
0,ackley,nelder-mead,107,44,9.798590621601377e-05
0,ackley,nelder-mead,109,45,7.096900342107304e-05
0,ackley,nelder-mead,111,46,6.881052366880525e-05
0,ackley,nelder-mead,113,47,3.4202179826525736e-05
0,ackley,nelder-mead,115,48,3.4202179826525736e-05
0,ackley,nelder-mead,117,49,2.261832088779059e-05
0,ackley,nelder-mead,119,50,1.5044016450804776e-05
0,ackley,nelder-mead,121,51,1.5044016450804776e-05
0,ackley,nelder-mead,123,52,8.751297305042982e-06
0,ackley,nelder-mead,124,53,8.751297305042982e-06
0,ackley,nelder-mead,126,54,7.5574389453159085e-06
0,ackley,nelder-mead,128,55,6.194137089909901e-06
0,ackley,nelder-mead,130,56,1.1941640605250825e-06
0,ackley,nelder-mead,131,57,1.1941640605250825e-06
0,ackley,nelder-mead,133,58,1.1941640605250825e-06
0,ackley,nelder-mead,135,59,1.1941640605250825e-06
0,ackley,nelder-mead,137,60,1.1941640605250825e-06
0,ackley,nelder-mead,139,61,8.972084413194636e-07
0,ackley,nelder-mead,141,62,6.63919760501841e-07
0,ackley,nelder-mead,143,63,2.5728629227117494e-07
0,ackley,nelder-mead,145,64,2.5728629227117494e-07
0,ackley,nelder-mead,146,65,2.5728629227117494e-07
0,ackley,nelder-mead,148,66,1.3856970371151078e-07
0,ackley,nelder-mead,150,67,1.3856970371151078e-07
0,ackley,nelder-mead,152,68,1.0221285906553135e-07
0,ackley,nelder-mead,154,69,8.691888853107343e-08
0,ackley,nelder-mead,156,70,4.691338562068381e-08
0,ackley,nelder-mead,158,71,4.691338562068381e-08
0,ackley,nelder-mead,160,72,3.1046461845818385e-08
0,ackley,nelder-mead,162,73,1.76748184976816e-08
0,ackley,nelder-mead,164,74,1.76748184976816e-08
0,ackley,nelder-mead,166,75,1.177840447397216e-08
0,ackley,nelder-mead,168,76,1.125528514833718e-08
0,ackley,nelder-mead,170,77,6.659356177607378e-09
0,ackley,nelder-mead,172,78,6.351819070715692e-09
0,ackley,nelder-mead,174,79,3.924477187666753e-09
0,ackley,nelder-mead,176,80,2.9141884461125755e-09
0,ackley,nelder-mead,178,81,2.2217006012681395e-09
0,ackley,nelder-mead,180,82,1.4021215299919731e-09
0,ackley,nelder-mead,182,83,1.2027041584872222e-09
0,ackley,nelder-mead,184,84,9.252905108780851e-10
0,ackley,nelder-mead,186,85,3.045568242043828e-10
0,ackley,nelder-mead,187,86,3.045568242043828e-10
0,ackley,nelder-mead,189,87,3.045568242043828e-10
0,ackley,nelder-mead,191,88,3.045568242043828e-10
0,ackley,nelder-mead,193,89,1.4526735370168353e-10
0,ackley,nelder-mead,195,90,1.4526735370168353e-10
0,ackley,nelder-mead,197,91,1.4526735370168353e-10
0,ackley,nelder-mead,199,92,8.166667342379696e-11
0,ackley,nelder-mead,201,93,5.956524162797905e-11
0,ackley,nelder-mead,203,94,3.986899699270907e-11
0,ackley,nelder-mead,205,95,3.986899699270907e-11
0,ackley,nelder-mead,207,96,2.467404058847933e-11
0,ackley,nelder-mead,209,97,6.082689907316308e-12
0,ackley,nelder-mead,211,98,6.082689907316308e-12
0,ackley,nelder-mead,213,99,6.082689907316308e-12
0,ackley,nelder-mead,214,100,6.082689907316308e-12
0,ackley,nelder-mead,216,101,5.546230141817432e-12
