Problem,Algorithm,Best IGD (O),Median IGD (O),Worst IGD (O),Best IGD (P),Median IGD (P),Worst IGD (P)
sdtlz1,NSGA3,2.93e+04,4.58e+04,7.81e+04,2.93e+04,4.58e+04,7.81e+04
sdtlz1,MOEAD - PBI,1.67e+05,1.67e+05,1.67e+05,1.67e+05,1.67e+05,1.67e+05
