seed,problem,algorithm,n_eval,n_gen,gd,gd+,igd+,igd,-hv
0,bnh,nsga3,494,38,0.5833463629692496,0.3196095948151213,1.8784699405967045,6.0635335005725235,-4792.4522399497155
0,bnh,nsga3,507,39,0.5645640094475503,0.31319314514081004,1.8783855293820941,6.063655454128011,-4792.367228465119
0,bnh,unsga3,13,1,1.1239718381812513,0.9910741061939462,3.54527458107288,8.929704592155687,-4480.310762451402
0,bnh,unsga3,26,2,1.5470954108944033,1.4427809172619706,3.43900057561655,8.595013345713827,-4514.08514263907
0,bnh,unsga3,39,3,1.0000230783942392,0.862482212684554,3.1688693791929654,8.15827160413206,-4562.632619357994
0,bnh,unsga3,52,4,0.9030125721285023,0.8767903557976986,2.6055970100690695,5.691466942894664,-4654.617031256065
0,bnh,unsga3,65,5,0.752355248434301,0.636611016557703,2.4698583444271494,5.509365482561382,-4684.755963778949
0,bnh,unsga3,78,6,0.7354175760613691,0.5816377665868857,2.4539148282575347,6.363489861857062,-4683.803865147476
0,bnh,unsga3,91,7,0.8243148708526145,0.7071687385667064,1.952553380552416,6.029871275696159,-4768.182093822329
0,bnh,unsga3,104,8,0.8242867654394133,0.706734280179621,1.933997044747114,6.00948938209152,-4771.2329725499885
0,bnh,unsga3,117,9,0.7328689364135788,0.5908028932543513,1.8336190703322424,5.784798034745405,-4787.234039020028
0,bnh,unsga3,130,10,0.7354902711312119,0.6024155444614334,1.8772445288744868,6.003988378027527,-4779.5529457347575
0,bnh,unsga3,143,11,0.6830184445483419,0.5179767781964721,1.8102183512101184,5.930719645177272,-4791.822887340647
0,bnh,unsga3,156,12,0.6058112183129081,0.4605296469905698,1.8406663791362248,6.417341247712541,-4783.856327149791
0,bnh,unsga3,169,13,0.7655451691038929,0.5790807063441907,1.8927377848685225,6.435247722139508,-4773.294578691566
0,bnh,unsga3,182,14,0.754002243366039,0.5725029008094589,1.8636295302551467,6.336122572171844,-4778.357526754457
0,bnh,unsga3,195,15,0.6774002665202049,0.5587336361363537,1.8622731661197545,6.3217407936668755,-4778.647529417126
0,bnh,unsga3,208,16,0.7060090137245242,0.5953466415106897,1.8647308085123282,6.316419842535185,-4777.959518760237
0,bnh,unsga3,221,17,0.7079776380094785,0.56925536002073,1.852210204656191,6.310229236816991,-4780.899680432916
0,bnh,unsga3,234,18,0.7777434538944237,0.6041836436350114,1.7090468976875122,5.47466417610931,-4808.581608368391
0,bnh,unsga3,247,19,0.752477934957269,0.5466129872955595,1.70854040036572,5.580256838861474,-4808.66366042574
0,bnh,unsga3,260,20,0.7930914997699785,0.5277410725408493,1.8087600765713157,5.656105606647079,-4796.096607566367
0,bnh,unsga3,273,21,0.6727963422228949,0.4965729401939418,1.7239919851833594,5.028155058853209,-4812.370176549602
0,bnh,unsga3,286,22,0.5715452930637596,0.4451345432398971,1.6979814744097725,5.082787476515887,-4816.152539801014
0,bnh,unsga3,299,23,0.5622134916864222,0.44683911634778684,1.6949104198276281,5.082163959156807,-4817.866960854382
0,bnh,unsga3,312,24,0.5689105774167491,0.445495147215636,1.7010119393042007,5.085660668928046,-4817.164964876817
