seed,problem,algorithm,n_eval,n_gen,gd+
0,df8,nsga2,100,1,1.3896328210710542
0,df8,nsga2,200,2,1.5057582562006508
0,df8,nsga2,300,3,0.7436371565914525
0,df8,nsga2,400,4,0.7387602301518726
0,df8,nsga2,500,5,0.6873421954652634
0,df9,nsga2,100,1,3.5580035261986627
0,df9,nsga2,200,2,3.107659192539707
0,df9,nsga2,300,3,3.2778638797171946
0,df9,nsga2,400,4,2.727089457911705
0,df9,nsga2,500,5,2.0272414416098505
0,df10,nsga2,100,1,1.7216166804231077
0,df10,nsga2,200,2,2.0479439042353325
0,df10,nsga2,300,3,2.2519498813396064
0,df10,nsga2,400,4,2.196854820853389
0,df10,nsga2,500,5,1.6674548549135835
0,df11,nsga2,100,1,0.86677986006531
0,df11,nsga2,200,2,1.3310384882198407
0,df11,nsga2,300,3,0.9771805309337491
0,df11,nsga2,400,4,0.46962146911560726
0,df11,nsga2,500,5,0.5739293894352996
0,df12,nsga2,100,1,2.085135093080676
0,df12,nsga2,200,2,2.09857142176137
0,df12,nsga2,300,3,1.9962619054575295
0,df12,nsga2,400,4,1.7351928406473975
0,df12,nsga2,500,5,1.4931941325037212
0,df13,nsga2,100,1,2.163242782870379
0,df13,nsga2,200,2,2.090230689210189
0,df13,nsga2,300,3,1.8701038748850245
0,df13,nsga2,400,4,1.8076470522265191
0,df13,nsga2,500,5,1.582957188682247
0,df14,nsga2,100,1,1.2190990913827715
0,df14,nsga2,200,2,1.2522284321561714
0,df14,nsga2,300,3,0.9455270320624549
0,df14,nsga2,400,4,0.7681672145443196
0,df14,nsga2,500,5,0.6273751848279104
0,mw1,nsga2,100,1,
0,mw1,nsga2,200,2,
0,mw1,nsga2,300,3,
0,mw1,nsga2,400,4,
0,mw1,nsga2,500,5,
0,mw2,nsga2,100,1,
0,mw2,nsga2,200,2,
0,mw2,nsga2,300,3,
0,mw2,nsga2,400,4,
0,mw2,nsga2,500,5,
0,mw3,nsga2,100,1,
0,mw3,nsga2,200,2,
0,mw3,nsga2,300,3,
0,mw3,nsga2,400,4,
0,mw3,nsga2,500,5,
0,mw4,nsga2,100,1,
0,mw4,nsga2,200,2,
0,mw4,nsga2,300,3,
0,mw4,nsga2,400,4,
0,mw4,nsga2,500,5,
0,mw5,nsga2,100,1,
0,mw5,nsga2,200,2,
0,mw5,nsga2,300,3,
0,mw5,nsga2,400,4,
0,mw5,nsga2,500,5,
0,mw6,nsga2,100,1,
0,mw6,nsga2,200,2,
0,mw6,nsga2,300,3,
0,mw6,nsga2,400,4,
0,mw6,nsga2,500,5,
0,mw7,nsga2,100,1,
0,mw7,nsga2,200,2,
0,mw7,nsga2,300,3,
0,mw7,nsga2,400,4,
0,mw7,nsga2,500,5,
0,mw8,nsga2,100,1,
0,mw8,nsga2,200,2,
0,mw8,nsga2,300,3,
0,mw8,nsga2,400,4,
0,mw8,nsga2,500,5,
0,mw9,nsga2,100,1,
0,mw9,nsga2,200,2,
0,mw9,nsga2,300,3,
0,mw9,nsga2,400,4,
0,mw9,nsga2,500,5,
0,mw10,nsga2,100,1,
0,mw10,nsga2,200,2,
0,mw10,nsga2,300,3,
0,mw10,nsga2,400,4,
0,mw10,nsga2,500,5,
0,mw11,nsga2,100,1,
0,mw11,nsga2,200,2,
0,mw11,nsga2,300,3,
0,mw11,nsga2,400,4,
0,mw11,nsga2,500,5,
0,mw12,nsga2,100,1,
0,mw12,nsga2,200,2,
0,mw12,nsga2,300,3,
0,mw12,nsga2,400,4,
0,mw12,nsga2,500,5,
0,mw13,nsga2,100,1,
0,mw13,nsga2,200,2,
0,mw13,nsga2,300,3,
0,mw13,nsga2,400,4,
0,mw13,nsga2,500,5,
0,mw14,nsga2,100,1,0.09213787545148636
0,mw14,nsga2,200,2,0.09236739292039592
0,mw14,nsga2,300,3,0.08647726624137066
0,mw14,nsga2,400,4,0.07691013578180605
0,mw14,nsga2,500,5,0.0744342432074204
0,dtlz1,nsga2,100,1,177.87380459982538
0,dtlz1,nsga2,200,2,160.47638866073936
0,dtlz1,nsga2,300,3,150.38552777661127
0,dtlz1,nsga2,400,4,151.10283940283128
0,dtlz1,nsga2,500,5,153.56661377003132
0,dtlz2,nsga2,100,1,0.5485589698923764
0,dtlz2,nsga2,200,2,0.5551541124402224
0,dtlz2,nsga2,300,3,0.5021344519870763
0,dtlz2,nsga2,400,4,0.505586914060593
0,dtlz2,nsga2,500,5,0.41435146808310686
0,dtlz3,nsga2,100,1,710.9368245502286
0,dtlz3,nsga2,200,2,639.9014018346808
0,dtlz3,nsga2,300,3,571.4513375193657
0,dtlz3,nsga2,400,4,554.5345157527714
0,dtlz3,nsga2,500,5,532.4798579232513
0,dtlz4,nsga2,100,1,0.482184288300677
0,dtlz4,nsga2,200,2,0.4737669545324058
0,dtlz4,nsga2,300,3,0.4220314907902099
0,dtlz4,nsga2,400,4,0.437089835013236
0,dtlz4,nsga2,500,5,0.422270684633164
0,dtlz5,nsga2,100,1,0.4957234956139701
0,dtlz5,nsga2,200,2,0.5011119394353832
0,dtlz5,nsga2,300,3,0.4703484807320095
0,dtlz5,nsga2,400,4,0.4020961480352287
0,dtlz5,nsga2,500,5,0.3907900048707356
0,dtlz6,nsga2,100,1,7.2718107461867705
0,dtlz6,nsga2,200,2,7.260216231699915
0,dtlz6,nsga2,300,3,7.19641296377066
0,dtlz6,nsga2,400,4,7.14215958190489
0,dtlz6,nsga2,500,5,7.028063060157166
0,dtlz7,nsga2,100,1,10.227364168013601
0,dtlz7,nsga2,200,2,8.478652879333332
0,dtlz7,nsga2,300,3,6.271207680681762
0,dtlz7,nsga2,400,4,6.168140280442222
0,dtlz7,nsga2,500,5,5.329682912162083
0,sdtlz1,nsga2,100,1,11101.019729946474
0,sdtlz1,nsga2,200,2,8703.023675066876
0,sdtlz1,nsga2,300,3,7845.992063510682
0,sdtlz1,nsga2,400,4,8170.70473941201
0,sdtlz1,nsga2,500,5,8248.475793010208
0,c1dtlz1,nsga2,100,1,
0,c1dtlz1,nsga2,200,2,
0,c1dtlz1,nsga2,300,3,
0,c1dtlz1,nsga2,400,4,
0,c1dtlz1,nsga2,500,5,
0,c1dtlz3,nsga2,100,1,925.7224975527008
