seed,problem,algorithm,n_eval,n_gen,best
0,ackley,nelder-mead,198,94,4.093170247188027e-12
0,ackley,nelder-mead,200,95,4.093170247188027e-12
0,ackley,nelder-mead,202,96,4.093170247188027e-12
0,ackley,nelder-mead,204,97,2.5548452242674102e-12
0,ackley,nelder-mead,206,98,7.358558207215538e-13
0,ackley,nelder-mead,208,99,7.358558207215538e-13
0,ackley,nelder-mead,210,100,7.358558207215538e-13
0,ackley,nelder-mead,211,101,7.358558207215538e-13
0,ackley,nelder-mead,213,102,4.907185768843192e-13
0,ackley,nelder-mead,215,103,3.4505731605349865e-13
0,ackley,nelder-mead,217,104,2.278177646530821e-13
0,ackley,nelder-mead,219,105,2.278177646530821e-13
0,ackley,nelder-mead,221,106,1.461053500406706e-13
0,ackley,nelder-mead,223,107,1.247890679678676e-13
0,ackley,nelder-mead,225,108,7.860379014346108e-14
0,ackley,nelder-mead,227,109,7.860379014346108e-14
0,ackley,nelder-mead,229,110,4.6629367034256575e-14
0,ackley,nelder-mead,231,111,3.241851231905457e-14
0,ackley,nelder-mead,232,112,3.241851231905457e-14
0,ackley,nelder-mead,234,113,1.4654943925052066e-14
0,ackley,nelder-mead,236,114,1.4654943925052066e-14
0,ackley,nelder-mead,238,115,1.1102230246251565e-14
0,ackley,nelder-mead,240,116,7.549516567451064e-15
0,ackley,nelder-mead,242,117,3.9968028886505635e-15
0,ackley,nelder-mead,244,118,3.9968028886505635e-15
0,ackley,nelder-mead,246,119,3.9968028886505635e-15
0,ackley,nelder-mead,248,120,4.440892098500626e-16
0,ackley,nelder-mead,252,121,4.440892098500626e-16
0,ackley,nelder-mead,254,122,4.440892098500626e-16
0,ackley,nelder-mead,258,123,4.440892098500626e-16
0,ackley,nelder-mead,262,124,4.440892098500626e-16
0,ackley,nelder-mead,266,125,4.440892098500626e-16
0,ackley,nelder-mead,270,126,4.440892098500626e-16
0,ackley,nelder-mead,274,127,4.440892098500626e-16
0,ackley,nelder-mead,278,128,4.440892098500626e-16
0,ackley,nelder-mead,282,129,4.440892098500626e-16
0,ackley,nelder-mead,286,130,4.440892098500626e-16
0,ackley,nelder-mead,290,131,4.440892098500626e-16
0,ackley,nelder-mead,294,132,4.440892098500626e-16
0,ackley,nelder-mead,298,133,4.440892098500626e-16
0,ackley,nelder-mead,302,134,4.440892098500626e-16
0,ackley,nelder-mead,306,135,4.440892098500626e-16
0,ackley,nelder-mead,310,136,4.440892098500626e-16
0,ackley,nelder-mead,314,137,4.440892098500626e-16
0,ackley,nelder-mead,318,138,4.440892098500626e-16
0,ackley,nelder-mead,322,139,4.440892098500626e-16
0,ackley,nelder-mead,326,140,4.440892098500626e-16
0,ackley,nelder-mead,330,141,4.440892098500626e-16
0,ackley,nelder-mead,334,142,4.440892098500626e-16
0,ackley,nelder-mead,338,143,4.440892098500626e-16
0,ackley,nelder-mead,342,144,4.440892098500626e-16
